192.168.2.107, 2022-06-15 16:19:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
192.168.2.107, 2022-06-15 16:19:17, POST, /admin/default/edit/getbooks/controllers/default.py, HTTP/1.1, 200, 0.068830
192.168.2.107, 2022-06-15 16:19:18, GET, /getbooks/default/index, HTTP/1.1, 200, 0.074800
192.168.2.107, 2022-06-15 16:19:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001004
192.168.2.107, 2022-06-15 16:19:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.128656
192.168.2.107, 2022-06-15 16:19:24, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 1.019460
192.168.2.107, 2022-06-15 16:19:43, GET, /admin/default/edit/getbooks/views/default/index.html, HTTP/1.1, 200, 0.124281
192.168.2.107, 2022-06-15 16:19:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
192.168.2.107, 2022-06-15 16:19:44, GET, /admin/default/edit/getbooks/views/default/index.html, HTTP/1.1, 200, 0.181885
192.168.2.107, 2022-06-15 16:19:44, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.226766
192.168.2.107, 2022-06-15 16:19:44, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.358912
192.168.2.107, 2022-06-15 16:19:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.398806
192.168.2.107, 2022-06-15 16:19:44, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.227273
192.168.2.107, 2022-06-15 16:19:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.494827
192.168.2.107, 2022-06-15 16:19:45, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 1.184745
192.168.2.107, 2022-06-15 16:19:45, GET, /admin/default/index, HTTP/1.1, 303, 0.173217
192.168.2.107, 2022-06-15 16:19:46, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.876055
192.168.2.107, 2022-06-15 16:19:46, GET, /admin/default/site, HTTP/1.1, 200, 0.184081
192.168.2.107, 2022-06-15 16:19:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
192.168.2.107, 2022-06-15 16:19:50, GET, /admin/default/design/getbooks, HTTP/1.1, 200, 0.675555
192.168.2.107, 2022-06-15 16:19:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000988
192.168.2.107, 2022-06-15 16:20:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.111733
